03/03: GEK10027 Lec 1, 03/02 (Day)
03/03: ECE20007 Lec 1, 03/02 (Day)
03/03: ECE20010 Lec 1, 03/02 (Day)
03/05: ECE20051 Lec 1, 03/04 (Day)
03/05: ECE20057 Lec 1, 03/04 (Day)
03/05: ITP20004 Lec 1, 03/04 (Day)
03/06: GEK10027 Lec 2, 03/05 (Day)
03/06: ECE20010 Lec 2, 03/05 (Day)
03/09: GEK10027 Lec 1, 03/02 (Week)
03/09: ECE20007 Lec 1, 03/02 (Week)
03/09: ECE20010 Lec 1, 03/02 (Week)
03/09: ECE20051 Lec 2, 03/08 (Day)
03/09: ECE20057 Lec 2, 03/08 (Day)
03/09: ITP20004 Lec 2, 03/08 (Day)
03/10: GEK10027 Lec 3, 03/09 (Day)
03/10: ECE20007 Lec 2, 03/09 (Day)
03/10: ECE20010 Lec 3, 03/09 (Day)
03/11: ECE20051 Lec 1, 03/04 (Week)
03/11: ECE20057 Lec 1, 03/04 (Week)
03/11: ITP20004 Lec 1, 03/04 (Week)
03/12: GEK10027 Lec 2, 03/05 (Week)
03/12: ECE20010 Lec 2, 03/05 (Week)
03/12: ECE20051 Lec 3, 03/11 (Day)
03/12: ECE20057 Lec 3, 03/11 (Day)
03/12: ITP20004 Lec 3, 03/11 (Day)
03/13: GEK10027 Lec 4, 03/12 (Day)
03/13: ECE20010 Lec 4, 03/12 (Day)
03/15: ECE20051 Lec 2, 03/08 (Week)
03/15: ECE20057 Lec 2, 03/08 (Week)
03/15: ITP20004 Lec 2, 03/08 (Week)
03/16: GEK10027 Lec 3, 03/09 (Week)
03/16: ECE20007 Lec 2, 03/09 (Week)
03/16: ECE20010 Lec 3, 03/09 (Week)
03/16: ECE20051 Lec 4, 03/15 (Day)
03/16: ECE20057 Lec 4, 03/15 (Day)
03/16: ITP20004 Lec 4, 03/15 (Day)
03/17: GEK10027 Lec 5, 03/16 (Day)
03/17: ECE20007 Lec 3, 03/16 (Day)
03/17: ECE20010 Lec 5, 03/16 (Day)
03/18: ECE20051 Lec 3, 03/11 (Week)
03/18: ECE20057 Lec 3, 03/11 (Week)
03/18: ITP20004 Lec 3, 03/11 (Week)
03/19: GEK10027 Lec 4, 03/12 (Week)
03/19: ECE20010 Lec 4, 03/12 (Week)
03/19: ECE20051 Lec 5, 03/18 (Day)
03/19: ECE20057 Lec 5, 03/18 (Day)
03/19: ITP20004 Lec 5, 03/18 (Day)
03/20: GEK10027 Lec 6, 03/19 (Day)
03/20: ECE20010 Lec 6, 03/19 (Day)
03/22: ECE20051 Lec 4, 03/15 (Week)
03/22: ECE20057 Lec 4, 03/15 (Week)
03/22: ITP20004 Lec 4, 03/15 (Week)
03/23: GEK10027 Lec 5, 03/16 (Week)
03/23: ECE20007 Lec 3, 03/16 (Week)
03/23: ECE20010 Lec 5, 03/16 (Week)
03/23: ECE20051 Lec 6, 03/22 (Day)
03/23: ECE20057 Lec 6, 03/22 (Day)
03/23: ITP20004 Lec 6, 03/22 (Day)
03/24: GEK10027 Lec 7, 03/23 (Day)
03/24: ECE20007 Lec 4, 03/23 (Day)
03/24: ECE20010 Lec 7, 03/23 (Day)
03/25: ECE20051 Lec 5, 03/18 (Week)
03/25: ECE20057 Lec 5, 03/18 (Week)
03/25: ITP20004 Lec 5, 03/18 (Week)
03/26: GEK10027 Lec 6, 03/19 (Week)
03/26: ECE20010 Lec 6, 03/19 (Week)
03/26: ECE20051 Lec 7, 03/25 (Day)
03/26: ECE20057 Lec 7, 03/25 (Day)
03/26: ITP20004 Lec 7, 03/25 (Day)
03/27: GEK10027 Lec 8, 03/26 (Day)
03/27: ECE20010 Lec 8, 03/26 (Day)
03/29: ECE20051 Lec 6, 03/22 (Week)
03/29: ECE20057 Lec 6, 03/22 (Week)
03/29: ITP20004 Lec 6, 03/22 (Week)
03/30: GEK10027 Lec 1, 03/02 (Month)
03/30: ECE20007 Lec 1, 03/02 (Month)
03/30: ECE20010 Lec 1, 03/02 (Month)
03/30: GEK10027 Lec 7, 03/23 (Week)
03/30: ECE20007 Lec 4, 03/23 (Week)
03/30: ECE20010 Lec 7, 03/23 (Week)
03/30: ECE20051 Lec 8, 03/29 (Day)
03/30: ECE20057 Lec 8, 03/29 (Day)
03/30: ITP20004 Lec 8, 03/29 (Day)
03/31: GEK10027 Lec 9, 03/30 (Day)
03/31: ECE20007 Lec 5, 03/30 (Day)
03/31: ECE20010 Lec 9, 03/30 (Day)
04/01: ECE20051 Lec 1, 03/04 (Month)
04/01: ECE20057 Lec 1, 03/04 (Month)
04/01: ITP20004 Lec 1, 03/04 (Month)
04/01: ECE20051 Lec 7, 03/25 (Week)
04/01: ECE20057 Lec 7, 03/25 (Week)
04/01: ITP20004 Lec 7, 03/25 (Week)
04/02: GEK10027 Lec 2, 03/05 (Month)
04/02: ECE20010 Lec 2, 03/05 (Month)
04/02: GEK10027 Lec 8, 03/26 (Week)
